n=53: 32490 terminal classes enumerated directly [6.6s]
  ... 2000/32490 best=1215 second=1161 [81s]
  ... 4000/32490 best=3488 second=3389 [312s]
  ... 6000/32490 best=6098 second=6031 [713s]
  ... 8000/32490 best=10840 second=9709 [1501s]
  ... 10000/32490 best=14620 second=14593 [2351s]
  ... 12000/32490 best=20096 second=18295 [3443s]
  ... 14000/32490 best=25128 second=23171 [4793s]
  ... 16000/32490 best=25733 second=25128 [6086s]
  ... 18000/32490 best=27046 second=26189 [7522s]
  ... 20000/32490 best=31264 second=27046 [8943s]
  ... 22000/32490 best=31264 second=27046 [10032s]
  ... 24000/32490 best=31264 second=27046 [11314s]
  ... 26000/32490 best=31264 second=27046 [12470s]
  ... 28000/32490 best=31264 second=27046 [13543s]
  ... 30000/32490 best=31264 second=27046 [14091s]
  ... 32000/32490 best=31264 second=27046 [14305s]
n=53: C(n)=31264  classes attaining=1  largest-below=27046  ratio=1.1560  classes=32490  [14311s]
